BN,CO,PARA,LN,POSITION OR DUTY TITLE,GR,POSCO,BR,ID,AMSCO,SWC,MDEP,REQ,AUTH,R1 R2 R3
2,1,600D,8,TNG INS WRITER,9,1712,GS,C,32173100,UKC,TATC,13,8,XV
2,1,600D,9,TNG INSTR WRITER,9,1712,GS,C,32173100,UKC,TATC,8,3,YU
2,1,600D,10,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,1,
2,1,600D,11,TNG SP WRITER,11,1712,GS,C,32173100,UKC,TATC,3,1,XV
2,1,600D,12,ADMIN SP,E4,71L1O,,I,32173100,ADI,TATC,1,1,ZR

,,,,,,,0D T,OTA,,,,151,129,

,,600E,0,CABLE & RADIO DIV,,W0,,,,,,,,
2,1,600E,1,SUPV TNG INSTR,12,1712,GS,C,32173100,UKC,TATC,1,1,XV CT
2,1,600E,2,CH INSTR/WTR,E8,31W5H,NC,I,32173100,UKC,TATC,1,1,XT
2,1,600E,4,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,7,7,XT
2,1,600E,5,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,8,8,XT
2,1,600E,6,INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TATC,2,2,XT VV
2,1,600E,7,SR TNG MGMT NCO,E7,31W4O,NC,I,32173100,UKC,TATC,3,1,
2,1,600E,8,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,2,2,XT
2,1,600E,9,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,1,1,XG XT VV
2,1,600E,10,INST/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,11,10,XT
2,1,600E,11,INSTR/WTR,E6,31C3H,NC,I,32173100,UKC,TATC,3,3,XT
2,1,600E,11,E INSTR/WTR,E7,31W4H,NC,I,32173100,UKC,TFNC,1,1,XT
2,1,600E,12,CRS MGT NCO,E6,31C3O,NC,I,32173100,UKC,TATC,5,0,
2,1,600E,13,INSTR/WTR,E6,31L3H,NC,I,32173100,UKC,TATC,11,11,XT
2,1,600E,14,TNG MGT NCO,E6,31L3O,NC,I,32173100,UKC,TATC,2,1,VV
2,1,600E,15,INSTR/WTR,E6,31L3H,NC,I,32173100,UKC,TATC,6,6,XT
2,1,600E,16,TNG MGMT NCO,E6,31L3O,NC,I,32173100,UMC,TATC,9,0,
2,1,600E,17,SUPV TNG INSTR,12,1712,GS,C,32173100,UKC,TATC,1,0,XV CT
2,1,600E,18,SUPV TNG INSTR,11,1712,GS,C,32173100,UKC,TATC,2,2,XV
2,1,600E,19,SUPV TNG INSTR,11,1712,GS,C,32173100,UKC,TATC,2,2,XV
2,1,600E,20,TNG SP WRITER,11,1712,GS,C,32173100,UKC,TATC,2,0,XV
2,1,600E,21,INSTR/WTR,9,1712,GS,C,32173100,UKC,TATC,4,3,XV
2,1,600E,22,TNG SP,9,1712,GS,C,32173100,UKC,TATC,2,0,YU
2,1,600E,23,INSTR/WTR,9,1712,GS,C,32173100,UKC,TATC,7,3,XV
2,1,600E,24,TNG SP,9,1712,GS,C,32173100,UKC,TATC,1,0,YU
2,1,600E,25,OFC AUTO CLERK,4,326,GS,C,32173100,ADI,TATC,1,1,
2,1,600E,27,ADMIN SGT,E4,71L1O,,I,32173100,ADI,TATC,1,1,ZR

,,,,,,,0E T,OTA,,,,96,67,


,,,,,,,TALS,,,,,272,220,

,,601,0,HQ&COA 369TH,,W0,,,,,,,,
2,1,601,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,1,601,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,0,
2,1,601,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,1,601,8,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,1,601,9,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,5,4,

,,602,0,CO B 369TH,,W0,,,,,,,,
2,2,602,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,2,602,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,2,602,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,2,602,4,SR DS,E7,31W4X,NC,I,32173100,BAH,TATC,4,3,YD
2,2,602,5,OPNS SGT,E6,31C3O,NC,I,32173100,BAH,TATC,1,1,TL
2,2,602,6,DS,E6,31C3X,NC,I,32173100,BAH,TATC,4,4,YD
2,2,602,6,A DS,E6,31L3X,NC,I,32173100,BAH,TATC,4,3,YD
2,2,602,7,OPNS SGT,E5,31L2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,17,15,

,,603,0,CO C 369TH,,W0,,,,,,,,
2,3,603,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,3,603,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,3,603,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,3,603,4,SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,3,603,5,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,3,603,6,DS,E6,31U3X,NC,I,32173100,BAH,TATC,7,7,YD
2,3,603,7,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,15,15,

,,604,0,CO D 369TH,,W0,,,,,,,,
2,4,604,1,COMMANDER,O3,25A00,SC,K,32173100,BAH,TATC,1,1,YW
2,4,604,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,4,604,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,4,604,4,A SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,4,604,6,OPNS SGT,E6,31U3O,NC,I,32173100,BAH,TATC,1,1,TL
2,4,604,7,DS,E6,31U3X,NC,I,32173100,BAH,TATC,7,7,YD
2,4,604,8,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,15,15,

,,605,0,CO E 369TH,,W0,,,,,,,,
2,6,605,1,COMMANDER,O3,25A00,SC,K,32173100,UKC,TATC,1,1,YW
2,6,605,2,XO,O2,01A00,,K,32173100,BAH,TATC,1,1,
2,6,605,3,FIRST SGT,E8,31U5M,NC,I,32173100,BAH,TATC,1,1,
2,6,605,4,SR DS,E7,31U4X,NC,I,32173100,BAH,TATC,3,3,YD
2,6,605,5,DS,E6,31U3X,NC,I,32173100,BAH,TATC,8,8,YD
2,6,605,6,OPNS SGT,E6,31U3O,NC,I,32173100,ADI,TATC,1,1,TL
2,6,605,7,OPNS SGT,E5,31U2O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,TALS,,,,,16,16,

,,606,0,CO F 369TH,,W0,,,,,,,,

,,,,,,,TALS,,,,,0,0,

,,650,0,447TH SIG BN,,W0,,,,,,,,
3,1,650,1,COMMANDER,O5,25A00,SC,K,32173100,BAH,TATC,1,1,36
3,1,650,2,XO,O4,25A00,SC,K,32173100,BAH,TATC,1,0,
3,1,650,3,XO,O3,25A00,SC,K,32173100,BAH,TATC,0,1,
3,1,650,4,CSM,E9,00Z5O,NC,I,32173100,BAH,TATC,1,1,

,,,,,,,650,TO,,,,3,3,
